label,kind,threads,host_GB,time_limit_s,gpu,args
stagersvd_l2agiso_sep1ss4,stage_rsvd,4,88,11862,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l2agiso_sep1ss4,stage_bounds,4,88,3600,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l3aniso_sep1ss4,stage_greens,4,8,6181,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l3aniso_sep1ss4,stage_rsvd,4,81,10225,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l3aniso_sep1ss4,stage_bounds,4,81,3600,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l4aniso_sep1ss4,stage_greens,4,8,7813,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l4aniso_sep1ss4,stage_rsvd,4,81,10193,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l4aniso_sep1ss4,stage_bounds,4,81,3600,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l2iso_sep1ss4,stage_greens,4,8,14361,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l2iso_sep1ss4,stage_rsvd,4,144,20076,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l2iso_sep1ss4,stage_bounds,4,144,3600,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
